Y,text
1,podcaster makes solemn promise to improve sound quality next episode
1,tsa agent can bring himself to make dad take off comfy shoes
1,law schools now require applicants to honestly state whether they want to go to law school
1,r stine reveals slappy from night of the living dummy was gay
0,psychic helps sniff out missing pet skunk
0,trump netanyahu meet an exercise in fawning fantasy and anti palestinian incitement
1,apple recalls thousands of earbuds that unexpectedly bloomed
0,is your outdated career map leading you astray 
0,not sure what an apple watch is for try these 12 apps
0,comedian bashes snl for not casting an openly gay man in over 30 years
0,barbara boxer tells bob corker it reckless and irresponsible to vote now on iran bill
0,jpmorgan chase hit with multi million dollar fine for shady investment advice
0,102 lgbt people were maimed or killed and still can donate blood
0,huffpollster republican women really don like trump
1,recording academy reminds aging musicians to die before december 15 to be included in 2017 grammy tributes
1,woman longs for caress of boyfriend dry cracked bleeding hands
1,mark zuckerberg admits he unsure why anyone still uses facebook
1,god damns minnesota vikings as requested
0,adopted child doe and amended birth certificates
1,trump vomits immediately after seeing everyday americans up close
1,georgia governor signs bill outlawing abortion except for single 30 second window on third day of fourth week of pregnancy
1,megachurch threatened by new ultrachurch
1,gingrich desperately trying to court people who vote vote
0, the late show updated trump election night speech with annotations
0,grab your wine boxes because will grace is back
1,local hamburger to star in national ad
0,lessons from kodak
1,obese doctors urge nation to eat three meals meal
1,swollen rex tillerson spotted rushing to place mouth over leaks spouting in keystone pipeline
0,on feminism but like being girl
0,celebrities react to bastille day attack with powerful pleas to stop the killing
0,internet enjoys sarah sanders claim that trump is the best negotiator at the table 
1,study finds average american inadvertently eats equivalent of 8 pieces of fruit per year
0,when hiring what problems should avoid 
0,julianne hough lived in pain for years because of endometriosis
1,congressman lets his guitar do the talking
1,cute couple on same antidepressant
1,bartender developing remarkable tolerance for alcoholics
1,whole foods announces it balancing out lower prices on most items by jacking cost of pita chips way up
0,rep calls for more than moment of silence in congress for charleston
0,winston churchill grandson introduces new nickname for donald trump
1,louie anderson now available in pasta form
0,luis gutierrez shoots down steve king and louis gohmert on law protecting child immigrants
0,clearing the aereo
1,aspiring legislator keeps sending unsolicited bills to house of representatives
1,motivational tape gets man excited for 20 minutes
1,advertiser reaches out to youth with off set mixed typography font
0,the only way to know what neil gorsuch really thinks about gay sex is to ask him about it
1,new tech support caste arises in india
1,huckabee sanders warns stormy daniels disclosures just steamy sexy distraction from real issues
1,man burning in hell wishes he hadn snickered at religious leaflet
0,7 genius napping inventions to get you through monday
1,innovative fat man combines waffles with ice cream
0,whatsapp finally adds fully encrypted video calling service
1,target pulls all sponsorship from publicly ignored syrian conflict
1,eric trump poses with carcass of safari guide shot on african hunting trip
0,alton sterling funeral evokes powerful calls for police reform
0,why went to the paris climate talks
0,pennsylvania congressional delegation will no longer be all men
1,african leaders still treating clinton as president
0,salmonella is on the rise because people won stop cuddling their chickens
0,reinventing win win win business relationships
0,caitlyn jenner responds to ricky gervais golden globes jokes
0,gop senator really doesn want to talk about donald trump
1,man wife dies of cancer just like in the movies
0,pope criticizes conservatives at key church gathering
1,parent takes out 100 bill in front of wide eyed 7 year old
1,chained pen yearns to visit rest of bank
0,the outrageous dessert you can make in slow cooker
1,all american ticket hails from alaska panama canal zone
1,soda nearing room temperature
0,responsible gun ownership
1,snowy mountain in pyeongchang figures it can withstand 1 or 2 more big cheers before triggering avalanche
0,california shooters likely planned multiple attacks officials
0,former tennessee judge allegedly voided traffic fines in exchange for sex
0,there finally museum devoted to telling the story of hbcus
1,end of last meals for death row inmates could decimate texas restaurant industry
0,u police chiefs call for background checks for all gun purchases
1,senator struggling to weigh interests of entire constituency against nothing
1,bush to lovely chilean ambassador must paint you 
0,donald trump assault on our values
0,scott walker terrible no good very bad week
1,nation aunts announce their 2018 thanksgiving boyfriend roster
0,j abrams admits alias execs doubted jennifer garner hotness
0,this couple just dropped rap music video to announce their breakup
1,parenting experts warn screen time greatly increases risk of child becoming an influencer
0,watch the benefits of meditation for children
0,why tens of thousands of people are signing up for this online happiness course
0,huffpost hill trump heads to louisiana will distribute the classiest absolute best mres
1,prince harry shows guest to air mattress in corner of windsor castle
1,trump complains about overly complicated controls needed to operate modern day doors
1,bill clinton still waiting for personal apology from monica lewinsky for using power as intern to exploit him sexually
0,blm alicia garza launches census project to mobilize black political power
1,bride always dreamed about making fiancé friends sweat asses off in fucking sun
0,the beverly hills hotel and the dangers of keyboard activism
0,read death of king the real story of dr martin luther king jr final year by tavis smiley
0,healthy looking rose throws ridiculous half court pass out of trap
0,cleveland ohio is magical place
1,tic tac toe grandmaster devises brilliant new gambit
0,wwii veteran reunites with his long lost love after 70 years on skype 
0,cultural gems we bet you ve never heard of
1,local welder suffering from welder block
0,flynn departure leaves trump foreign policy even more disoriented
1,out of control scott walker injured after wildly careening between stances on immigration
0,reinventing reality an interview with the party girl filmmakers in cannes
0,a socal brunch spot was caught using popeyes chicken in its dishes
0,why women should get un tired 
1,gummy bears born conjoined
0,kylie jenner first dye job was adorably amateur
0,how navigated my first 7 years of sobriety
1,aides advise obama to avoid any mention of america during state of the union speech
0,is obamacare repeal over three possible outcomes
0,is the fda sleeping on the job when it comes to sleeping pills 
1,best buy employee wearing different colored shirt for some reason
1,report more women choosing to freeze their eggs until age when sudden unexplained mass infertility places society on verge of collapse
0,yoga master diamond dallas page reluctant destiny
0,microsoft russian hackers exploiting windows flaw
0,hillary clinton takes stand against subminimum wage for people with disabilities
1,ethan hawke body found dumped in laurel canyon as 2019 oscar race heats up
1,conair releases new double sided curling iron for flawless burns
1,man who bought 34th anniversary reissue of fleetwood mac rumours feeling like real idiot after passing display for 35th anniversary edition
1,warning on police body camera footage cautions viewer they about to see pretty much exactly what they expect
1,pony anxiously waiting for attendant to flag large child as too big for ride
1,al roker strongly considers retiring from creating the weather
1,report john grisham slowly but surely climbing list of greatest living american authors
1,new college freshman refers to dorm by actual name
0,5 missing after army helicopter downed near hawaii
0,in celebration of our national anthem bicentennial
0,a stranger was bleeding in the parking lot this man saved his life with shirt and bear hug
1,little league coach reveals creepy method for breaking in baseball mitt
1,man going to show up to launch of k rowling new book dressed as severus snape anyway
1,area grasshopper kind of thorax man himself
0,merkel party beaten by anti immigrant afd in german state election
0,psa these are the places where it ok to breastfeed
0,news roundup for may 31 2017
0,the trailer for netflix the discovery has jason segel and rooney mara exploring the afterlife
0,shake it off what learned from negative review
0,edison electric institute anti solar pr spending revealed
1,all all urged to go fuck yo selves
0,it only takes five minutes to show how thorny america gun control is
0,teen blinded in one eye but lucky to be alive after duct tape challenge
0,obama legacy is proving far harder to erase than trump imagined
1,stresses of white house causing bo to go prematurely gray
1,white house raises official hurricane florence death toll to 17
0,best of abu dhabi learning the games people play through the narcicyst rise
1,national security commission warns clinton the call is coming from inside the house 
0,chagas disease 2014 world cup yellow card
0,a review one teen story 
0,bernie sanders it is not radical idea to ask for 15 minimum wage
1,ant hoping queen will notice pretzel crumb he got her
0,illinois neglects child care payments for needy families
0,author of botched daniel holtzclaw profile apologizes for lopsided account 
0,don roll out the red carpet for vietnam autocratic leader
0,10 of illinois safest cities
1,woman comes forward with first allegations of biggest sexual harassment scandal of 2036
1,jawa appointed secretary of transportation
1,report finds one in five americans struggle with properly masking depression
1,rubenesque woman has picassoesque face
0,copyright is broken can congress fix it 
1,missing boy scout earns publicity badge
0, riverdale star lili reinhart apologizes for insensitive halloween tweet
1,mtv promotes airs condemns controversial new video
1,meals on wheels volunteers deliver body chocolate edible underwear to seniors shut in on valentine day
0,christie brinkley looks better than ever in barneys spring campaign
1, paw patrol writers defend episode where german shepherd cop shoots unarmed black lab 17 times in back
0,texas education board votes to create classes on mexican american studies
0, letter to my granddaughters 
1,god excited about first trip to japan
0,who a better liar brian williams or pinocchio 
0,trump tax cut challenge
1,college encourages lively exchange of idea
1,scholars say constitution is open to differing interpretations because nobody can read that crazy script
0,why trevor noah thinks hillary clinton will never connect with people
0,how to connect with others
0,stop everything lady gaga is coming to rupaul drag race 
0,pope celebrates mass in havana warns against dangers of ideology
1,cat whiskers little much
1,mysterious necrotic skin disease continues to eat away at baby face weeks after being kissed by ted cruz
0,ex prosecutor accused of wiretapping married cop she wanted to romance
1,study finds chimpanzees only other animal capable of keeping lid on friend affair
1,trump mocks christine blasey ford for forgetting basic facts about woman place
0,saudi crown prince unprecedented power grab could come to haunt him
0,there a major intensity gap on the gop new health bill
0,zendaya is getting her own loc barbie
0,when soldier returns home her toddler son can contain his excitement
0,shake shack celebrates the return of will grace in sweet and boozy way
1,woman thinks she can just waltz back into work after maternity leave without bringing baby to office
1,boilermakers protest purdue mascot
0,why trump lies and transgressions appeal to his followers
1,scientists successfully create artificial placenta that tastes just as delicious as real one
1,dasani under fire after tanker explosion leads to massive water spill off coast of mexico
0,the true gifts of the holidays
0,exploring breast cancer in transgender communities
0,the one scandal the trump white house can lie its way out of
1,senator mix lot sponsors titties on glass legislation
1,bush texting while mahmoud abbas speaks
1,lingerie wearing boehner we still have very pretty speaker of the house 
1,apartment broker recommends brooklyn residents spend no more than 150 of income on rent
1,royal couple to spend 36 21 queen elizabeth had left over from 2010 s visit
0,the rise and fall of the blackberry an interview with jacquie mcnish and sean silcoff
0,ferguson police officer shot
0,silencing milo
1,report some small town enjoying last days of anonymity before harrowing tragedy
0,why is nightlife so important to the queer black and latino communities 
1,new regulation requires all protected species to be actively looking for new habitat in order to receive funding
0,u justices reject challenge to protest ban on supreme court plaza
1,report average american worker replaced within 10 minutes of taking vacation
1,warden scrambling to find ways to punish striking inmates worse than their typical living conditions
1,insane man gets little perspective by reminding himself that he is god
1,stingray loves when aquarium visitors squeal and recoil after touching it
0,we re so excited about this saved by the bell pop up restaurant
1,std had awesome time on spring break
0,food hacks for the best tailgate ever
0,hillary clinton clarifies her stance on 15 minimum wage
1,woman on tv engulfed in animated credit card bills
1,10 pack of swiss miss bracing itself to shoulder burden of holding together man depressing holiday alone
0,trump orders strikes on syria in retaliation for chemical attack
1,mueller immediately regrets coercing michael cohen to flip on trump after having to spend time with him
0,leave no votes on the table engaging latinos in georgia and kansas
0,john oliver is surprised dustin hoffman didn expect harassment questions
0,don blame but pretty little liars is ending after 7 seasons
1,report morbid curiosity now accounts for 79 of nation snack food purchases
1,extravagant new window blinds inspired by the latest styles from venice
1,aspiring elitist moves to new york
1, what if we put m on top would they eat that doritos exec wonders out loud
1,misbuttoned coat makes perfectly sane woman look like raving lunatic
1,new study finds link between breastfeeding always knowing what right for everyone
0,several injured by accidental gunfire at waldorf astoria wedding party
0,huffpollster indiana gop primary will be battle between demographics and economics
1,new ted cruz campaign ad features his kids begging for beto rourke to be their new dad
0,oregon man who beheaded mom cat learns his fate
0,hollywood talent agency ditches usual oscar party in favor of anti trump rally
1,retiree gearing up for errands with lady friend
1,80 percent of s populace now selling handmade jewelry
1,man worried favorite jedi died after seeing obi wan kenobi trending
1,alcohol themed party success
1,coworker hastily leaves break room to avoid here comes the boom spoilers
1,warranty outlasts company
0,trump woman card remark drives 2 4 million in fundraising for hillary clinton
1,gop releases new letter supporting kavanaugh signed by orrin hatch 500 times
1,boy scouts celebrate proud history of preparing teens for not having cool friends
0,the equifax breach is bad but there are steps that can help
0,masterchef recap you re prawns are raw in top ten compete 
0,americans say they re ok with blackface other offensive costumes
0,two victims shot on texas southern university campus
0,fact checking walmart fact check of the new york times
0,the public still can see the eric garner grand jury records court rules
0,this octogenarian took in dozens of abandoned dogs and built them mini train
1, captain actual america overweight hopelessly in debt
1,sighing resigned climate scientists say to just enjoy next 20 years as much as you can
0,police man fatally shoots self while demonstrating how to clean gun
0,rubio has rocky road ahead
1,secret agent back always been bit hinky ever since he burst through that skylight and landed in fountain
1,new ronco food exposer spoils food overnight
0,i cannot take gabrielle union op ed on nate parker lightly
1,barnes noble creates stripper prostitute memoir section
1,audiobook narrator really going for broke with cajun accent
0,watch ted cruz flub fox news interview on immigration
0,billionaire cash is flooding los angeles to push trump devos school choice agenda
1,historians uncover evidence stonehenge once prominent druid make out spot
0,people on the street apologize to their old teachers on jimmy kimmel live 
0,world most innovative companies
1,trump vehemently denies using word people to describe african immigrants
0,drake super bowl ad makes you wanna call someone on your cell phone
1,man swells with shame after entering zip code into girl scout cookie locator
0,watch pentagon video of the moment the mother of all bombs exploded
1,depressed businessman takes 16 power naps day
0, new hampshire episode 4 not just for old white people
1,super 8 offering writers residency for anyone working on suicide note
0,ferguson is not among the most dangerous places in the world donald trump
1,michael cohen granted prison work release for new job with trump 2020 campaign
0,6 things you need to know about the nation strictest medical weed law
0,the bridge an essay photos 
1,smithsonian rejects tie dylan mcdermott wore in the practice 
0,it 2018 so of course merriam webster added dumpster fire to its dictionary
1,atlantic records sends cease and desist order to woman using lizzo juice as her personal anthem
1,man knows he must ride unexpected urge to clean as far as it will take him
0,carolina panthers coach ron rivera has charlotte latino community fired up
1,new aphasia study finds empty fullness brokered yellow ideas happily
0,post rachel what rachel dolezal taught us about race
1,horrified grimes stumbles upon boyfriend 18 billion plan for all new reinvented grimes
0,dems discuss dropping wasserman schultz
1,mental health experts recommend calling fratricide prevention hotline for anyone contemplating killing brother
1,auto industry agrees to install brakes in suvs
1,receptionist takes leave of absence citing dehydration exhaustion
1,dysfunctional family brought together by liquor
0,a game of thrones prequel could actually happen
0,nobody should be reduced to an illegal immigrant 
0,looking for happiness in all the wrong places
0,camp david president obama and the refusal to acknowledge history and reality
0,donald trump what the actual ck 
1, dsm 5 updated to accommodate man who is legitimately being ordered to kill by the moon
1,report friend doing sober january must have really fucked shit up over holidays
1, why are you still sleeping on s women soccer asks sports website first article about women soccer in four years
0,neil young quits legendary bridge school concert for personal reasons 
0,friday talking points gop anti trump rants
0,on the menu 7 questions with chef luigi fineo
0,hiker dies after falling from yosemite iconic half dome trail
0,chuck todd warning to gop
1,dick pulled back out again
1,important decision sent up to company highest idiot
1,vigilante judge takes law into own hands
1,kite flyer in the zone
0,doing academic time
0,save this season the best underwear multipacks
0,6 infants drown when migrant boat capsizes off greek island
0,having kids radically reshapes parents immune systems
0,purritos cats burritos the internet all our favorite things
0,starved dogs thrown from van are learning to trust humans again
0,the one tip you need to achieve financial and physical health
0,kelsea ballerini believes it a new era for women in country music
1,djimon hounsou to play every african in the world
1,eric holder loads ipod with ap phone conversations for morning commute
0,keith olbermann asks if we should give president elect y grabber chance
0,behind every easter is crucifixion
1,forgetful karl lagerfeld inadvertently starts lobster bib trend
0,two year cellphone contracts are almost dead here everything you need to know
1,there been an explosion 
0,kylie jenner beat beyoncé at breaking the internet
1,parents don remember enough colors to help with kindergartner homework
1,vatican unveils new pope signal
0, affluenza mom tonya couch has curfew eased so she can find job
0,rudy america
1,friend who into politics makes you feel stupid again
0,a test for chronic fatigue syndrome
1,entire blogosphere stunned by blogger special weekend post
1,sources hackers vandalized drudge report for last 15 years
0,this pit bull with cleft palate proved doctors wrong and is now living the good life
1,tv producers running out of types of people to have dance with each other
1,romney appeals to hispanic voters for return of watch he left on dresser
1,officials urge americans to sort plastics glass into separate oceans
0,los angeles lakers oh how the mighty have fallen
0,why dad was forced to leave the hospital the day his baby was born
0,opening wider and diving deeper into the immeasurable beauty and pain of life
0,yolo joe 11 reasons why biden should jump in already
1,visiting parents unknowingly strike up conversation with parents of dorm blowjob queen
0,scenes from drunken huddle of angry white men
1,second grade music student goes nuts with cowbell
1,charlie rose presses self about sexual harassment allegations in tense charlie rose interview
0,proof that human alex jones is most certainly not part reptile
0,watch amazing paper airplane toss hits soccer player
0,confessions of hopeful hoarder
1,trump demands william barr prove loyalty by putting gun in mouth pulling trigger
1,locks of love completes construction of massive hair silo capable of holding 150 000 pounds of hair
0,18 electric wedding kisses that will leave you weak in the knees
0,you thought flint was bad see the lead levels in california children
0,suicide attack at methodist church in pakistan kills nine wounds dozens
1,woman with really pointy feet finds perfect shoes
0,lauren conrad shares 4 simple rules for dealing with pregnant women
0,steve bannon slated to speak at black entrepreneurs summit
1,group of hunky cardinals appeal to pope to relax celibacy requirement
0, egyptian jon stewart bassem youssef introduces muslim morning after kit 
1,orca mother carries around dead calf for two weeks as warning to all who would defy her
0,5 things you miss about married life as divorced mom
0,man stuffs cash into shirt of gop congressman who voted to repeal obamacare
0,to my muslim best friend
1,gay gene isolated ostracized
0,the injustice of mandatory minimums
1,clinton assures tim kaine she ll continue serving as president in event of her death
1,seventh graders still undecided on disparaging name for mr hyslop
1,unremarkable man resembles burt ward
1,mom saw bunch of photos from women march online
1,middle school janitor can already tell he going to have to befriend new kid
0,bill maher jokes about what donald trump will really be doing on his asia trip
0,tuesday morning email take look at the wildfires devastating california wine country
1,tokyo adds 100 story toadstool to skyline
0,mule ing it over high heels and the law
1,new liver complains of difficulty working with lou reed
1,sudden burst of confidence not sure where the hell it came from either
1,tom clancy death hits cincinnati airport hudson news cashier pretty hard
1,van morrison removed from rock and roll hall of fame following allegations he bet on album sales
1,binge drinking promiscuous sex good for you says new orleans journal of medicine 
0,how boehner can clean house one sentence to prevent government shutdowns forever
1,endangered species list edited to fit poster
1,yeah area man is drunk so 
1,nation healed by awesome sports highlight
1,study finds newborn infants can tell if parents are losers
0,donald trump makes dubious claim about inauguration singer jackie evancho
0,princess slays the knight
0,lingerie made for queer people now there a boutique for that
1,7 year old apparently under impression everyone knows who the fuck aunt dee dee is
0,gop senators throw support behind mitch mcconnell as feud with trump escalates
1,trump agrees to wear wire to take down roger stone
1,yo yo ma injured during practice
1,savings passed on to local woman
1,sen hatch says trump allegations not serious enough that scales should fall from eyes revealing what madness we have begotten
0,video breaks down how whiteness as construct shaped the election
1,boxer hopes he can make money punching things in retirement
0,14 snapshots that summed up parenthood in 2014
1,girl you could ve slept with pretty successful now
0,public higher education in america is facing an existential emergency
0,msnbc head pledges to boost diversity after cinco de mayo disaster
1,nancy pelosi signals support for environmental causes by placing green new deal directly into recycling bin
0,12 gift ideas for couples who don take themselves too seriously
1,obama sort of freaked out after not receiving single mail phone call for entire day
0,resolving to be kind 10 resolutions for 2015
1,search for kick ass shelves continues
0,why toothpicks are the best cake testers
1,conservation program helps struggling rhinos adapt to modern ecosystem by retraining them as urban scavengers
0,horrified by johnson johnson tactics sales rep wears wire
1,kavanaugh sweating bullets after betting life savings on being confirmed to supreme court
0,david chase analyzes the sopranos ending shot by shot
1,john henson craig kilborn meet for historic smug bastard summit
1,north dakota flooding reminds people of north dakota existence
0,nun with chainsaw clears hurricane irma debris like pro
0,university of texas professors sue to block guns in classrooms
0,no shelter counting the homeless in seattle
1,great barrier reef offers scuba divers chance to see beautiful diversity of ocean death
0,11 statement making sunglasses under 50
1,isis adds few violent white supremacists in bid to get s to rescind terrorist designation
1,nation sanitation workers announce everything finally clean
1,department of agriculture locates perfect goat
0,mother of slain aurora teen calls out bernie sanders on gun control
0,what black parents tell their sons about the police
1,almost no effort made to stop kid from eating cigarette butt
1,breakthrough procedure allows parents to select sexiness of child
1,rosa parks not really honored by new bus depot
1,man from canada acts like he not cold
1,secretary of the interior meekly asks if there anything she can do to help stop isis
0,you are where you eat
1,lieberman overlords most displeased
0,for the interview even negative publicity like massive sony hack is good publicity
0,jon stewart goes off about donald trump response to neo nazis
0,7 seriously rad mother day gifts
1,47 second clip from family ties season 3 now available on youtube
1,state bird reconsidered after latest wren attack
0,republicans reject disclosing findings on trump business conflicts russia ties
1,early stage threesome forming in corner of party
1,life much better thanks to recent elections
1,tsarnaev death penalty warning to any other religious fanatics hoping to be martyred
0,sebastian gorka who has downplayed threat of white supremacists still teaches marines about terrorism
0,when autocorrect and sexting collide
0,rupaul is getting star on the walk of fame
0,kentucky clerk it impossible for me to marry gay couples
1,new mcdonald sandwich offers free wi fi
0,scott walker issues executive order allowing national guard members to carry weapons
1,iran ready to talk about how awesome nuclear program is
1,shipwreck survivors forced to endure ride home on disney cruise ship
0,vulnerable republicans just showed why fighting for trans rights is political winner
1,peruvian shockingly knowledgeable about s history
1,jonah lehrer working on book about neuroscience behind why we falsify quotes
0,conservative newspaper editorial boards line up behind hillary clinton
1,quiznos releases new 6 foot long party man
0,these are the most generous cities in america
0,joe biden on beau he said it was my obligation to run my duty 
1,slain cop had only 37 years until retirement
1,lottery winner burns money in faces of poor children
0,no gay marriage wasn a conservative win
1,sperm can remember why it came into womb
0,ganging up against gender violence 
0,dog lets baby climb all over him continues being this little man best friend
1,area man gets in one last night of sex before breakup
0,georgia ski lift malfunction hurls people into air injuring 11
0,noaa predicts we ll see more hurricanes this year than in 2015
1,man dives haphazardly into conversation like wounded osprey
1,singer cites girlfriend as reason he lives dies breaks down cries
0,former munsters child star shares the troubling real reason he quit acting
1,congress can remember last time it got together and legislated like this
0,leaping kangaroo smashes into unsuspecting cyclist in australia
1,oxfam your donation will help us protect impoverished girls from our employees 
0,sen mike lee says trump is fully cooperating with russia investigation
1,plastic bag still up in tree
1,stadium humors old man on stage sings along to hey jude 
0,selig counted money while baseball lost the next generation of fans
1,man panics after reaching age where parents prematurely started family
1,viewer outraged
0,someone recut the elf trailer as thriller and it terrifying
1,herpetologist names son after famous herpetologist
0,steve kerr gave an impassioned plea for gun control that everyone should hear
1,karate studio hoping to get local phone number that spells out word kick or chop 
0,more than 10 000 migrants rescued from mediterranean in past 2 days
1,u soothes upset netanyahu with shipment of ballistic missiles
1,archivists discover unpublished michael crichton manuscript about amusement park that operates without hitch
0,5 year old boy faces tough decision about his girlfriends
0,what millennials want most in love according to therapists
1,child at 9 11 memorial service sternly reminded we are sad today
1,woman longs for day when first female president can have tell all book written about disgusting vagina
0,how do fighter pilots earn their nicknames and call signs 
0,kentucky governor echoes trump all sides to blame for charlottesville violence
1,apartment set up to create illusion of well rounded life
0,why we don know the size of the transgender population
1,cretinous reprobate home for the holidays
0,health insurers fire volley in new battle over the public option
0,why lin manuel miranda will always be fearless ally of planned parenthood
0,j abrams is doing something real about oscarssowhite
0,isla fisher thanks donald trump for showing that unqualified orange people can win things 
1,last remaining novelist dies in captivity
0,parents peeved their kids hatchimals are cursing up storm
0,designers handwrite the words we all wish we could say to flotus
1,crops begin emerging from farmlands across nation as monsanto ceo slowly raises arms
0,lauren graham just dropped clue about those final 4 gilmore girls words
1,berserk hairdresser cuts bangs without permission
1,economists recommend setting aside part of every paycheck in case of dire straits reunion tour
