Y,text
1,power crazed orkin man burns house to ground
1,airline part of something called star alliance 
0,the powerful new play breaking the silence about sexual violence
1,local cvs selling one leather jacket for some reason
1,new study finds no long term health benefits
0,this week in the confusing and controversial tpp
1,new ultra realistic xbox game has users press repeatedly to make character breathe
0,little girl and husky puppy howl in doggone cute duet
1,baltimore preparing for hurricane joaquin by adding second layer of plywood to shuttered small businesses
0,watch prince harry and rihanna get tested for hiv together
0,woman says cops murdered brother in tussle after breaking into home without warrant
1,discovery of neolithic gift shop suggests stonehenge always meant as tourist attraction
0,a mooc by any other name
0,beautiful pregnancy time lapse shows new mom and new nursery transform
0,the gop would probably have better chance of winning without trump
0,why it matters that women talk about their abortions
1,woman sick of being stuck in back half of velma costume entire halloween party
1,kerry vows to raise wife taxes
0,why lebron wanted to go home
0, tall women in clogs busts stereotypes about height gender and more
1,consumer confidence verging on cockiness
1,parents formally announce transfer of expectations to second child
0,the wealthiest have private tax system that saves them billions
0,rip ms paint
0,this 1927 essay proves we ve always worried about the future of books
0,living life with heart an interview with tony ducharme
0,can tai chi and computer games treat your adhd 
0,you may have missed the 6th woman on time person of the year cover
1,monocle wearing oil baron cigarette holder splinters in clenched teeth after hearing bernie sanders environmental platform
0,6 incredible photos that show the world we need to protect
0,why s allies in the middle east should be alarmed by north korea
0,jeb bush calls for crackdown on sanctuary cities in immigration plan
1,weird coworker apparently likes walking two miles to work every day
1,rapist gets new start at technical college
0,marco rubio doesn have clue what oscars so white means
1,number of acceptable things candidates can say now down to four
0,kelly clarkson reacts like any mom to news she getting vacation
0,bad news appointment of shia militiaman to iraqi cabinet
1,health insurance ceo reveals key to company success is not paying for customers medical care
1,logan paul didn realize people who commit suicide kill themselves 
1,businessman takes power bath
1,voice coming from dnc sound system during sanders address clearly hillary clinton s
0,a s cyclist made sure she won gold then collapsed to the ground
0,largest ever all female expedition sets sail for antarctica
0,how repealing obamacare will hit the lgbt community extra hard
1,customer awkwardly accepts one cent receipt
0,jay kendrick lamar dominate the 2018 grammy nominations
1,antarctic observational comic running out of ideas
1,new poultry stripe gum hardly tastes like goose after chewing for one minute
0,trump rebuffs his opioid task force declines to declare state of emergency
1,14 word diet stretched to 200 pages
1,fran drescher screeches out for cancer awareness
1,woman body confusing jumble of celtic egyptian japanese symbols
1,bernie sanders agrees to drop out of race in exchange for 13 hour speaking slot at convention
0,12 reasons to watch the puppy bowl instead of the super bowl
0,rudy giuliani says white cops needed to stop black people from shooting each other
0,pistachio biscotti with kirsch soaked dried cherries
1,kerry volunteer gets some kerry primary victory sex
1,mccain blasts obama as out of touch in burma shave style billboard campaign
1,cory booker introduces oversize velvet blacklight bill decriminalizing marijuana
0, call my husband just killed my baby 
1,natural light very important to local man
0,the effects of western colonization of india on the lives and future of the women of the indian subcontinent
1,nation just goes ahead and decides freedom prevails over hate is lesson of 9 11
0,several people injured in car incident near london museum
0,meet the visionary chicago school leader who just won macarthur genius grant
1,bold new pope shows crowd in saint peter square how to apply condom
0,strangers to send nice bucket gift to ice challenge prank victim in moving show of solidarity
1,report finds populace has collective goodwill to come together for only 5 more national tragedies
0,what it like to date when you re poet
0, 9 billion is lot of money how much could you buy with illinois budget deficit 
1,blood spattered suri cruise drags dog carcass to mother doorstep
0,trump executive order helps cement guantanamo status as forever prison
0,equal pay won happen as long as employers ask for salary histories
1,paper towels on amazon surge to 2 000 roll after crippling cost increase of paying workers living wage
1,india holds 5k stampede for charity
0,from man of the year to millions for charity what learned from my first campaign when was 12 
1,report 1 in 5 air ducts contains person looking listening in on you
1,report someone probably masturbating to this stock photo right now
0,outside money surge makes kansas senate race costliest in state history
1,fashion designers announce plans to wave with both hands bow slightly
1,ethical hunter throws duck he shot back into sky
0,the istanbul nightclub attack finally united divided country
0,london police arrest six after synagogue attack
0,lights go on part xx grateful
0,when politicians struggle to find pathway to peace business must step it up
1,man runs into ex wife while wearing sandwich board
0,global artists come together for anti trump track celebrating queer love
1,27 year old unsure whether he can pull off keeping framed picture of wife on desk
0,boardroom hokey pokey that dance that women do
1,wolf blitzer debuts new real time election results beard
0,jeb bush slams lobbyists despite his close relationship with them
1,interim cia director assures nation he engages in no sexual activity whatsoever
1,precious little voter needs to feel inspired by candidate
0,how my obsession with gore and death actually makes my life better
1,local man helped every day by salad shooter
0,naked truth how learned to stop worrying and sort of love my body
1,unfinished basement has weird feeling about way woman looking at it
0,emma stone meryl streep and other stars bring activists to golden globes
1,speed stick now available in neapolitan
0,defiant londoners sit in the street for ramadan evening meal after high rise fire
1,doritos good
1,orlando locals fear town starting to become overrun by tourists
1,obama begins inauguration festivities with ceremonial drone flyover
0,ufc champion jon jones sentenced in hit and run case involving pregnant woman
0,what the matter with dystopia 
1,u military honors sacrifices of nfl players by wearing jerseys throughout december
1,fans beg aerosmith to go back on drugs
1,white hot gop race down to two mentally ill people person who lost nomination last time
0,the presidential debates should model themselves after pti for democracy
0,joan rivers my hero and my cautionary tale
0,behind the scenes of an intricate fbi sting
0,creating black futures within the present
1,dancing costumed midgets celebrate death of deng xiaoping
0,great lakes amazing connections the power of cooperation in policymaking
0,business solutions can make trade more inclusive
0,gwen stefani and blake shelton take their love to the billboard music awards
0,what warren harding can teach us about sex and foreign influence in american politics
1,report it okay to spend rest of day curled in fetal position under desk
1,mccain speechwriter trying to write lines that don lead to creepy smile
0,los angeles mayor pledges 138 million to help the biggest homeless population in the s 
0,gravedigger suspended after taking photo with dead man
0, that bastard kushner 
1,obama romney urge americans to purchase the onion book of known knowledge 
1,gop leaders move goalposts on opposing trump to him being filmed masturbating on s flag in arlington cemetery
0,if you see muslim at the airport
0,six dead 10 hurt in baltimore commuter school bus crash
0,let get trump evangelical council to resign
1,john boehner to paul ryan was once young and beautiful too 
0,gop led house ignores dems sit in approves 1 1 billion to fight zika
0,gop voters will probably support anyone their party nominates
0,here some ways to get teachers to support lgbt students
1,julian assange nobody likes tattletale
0,a donald trump presidency would be dangerous for the world un rights chief
1,sight of j simpson actually kind of comforting
0,police group makes big admission about justifiable police shootings
0,asu gsv report teachers and tech tools
1,man can wait to find out if millennium falcon gets out of that tunnel
1,frustrated fcc unable to stop use of word friggin 
0,video captures courthouse beating of inmate accused of killing chicago child
1,immune deficient realtor forced to spend entire life in housing bubble
1,nation cable companies announce they re just going to take 100 from everyone
0,why run writers conference 
0,there was only one thing this driver could do to avoid head on crash
1,once cute cerebral palsy poster child now awkward cerebral palsy teen
1,new study finds average american stands no chance against what coming
0,khizr khan sees shared moral compass in lessons of japanese american incarceration
1,fox news channel adds laugh track
0,an iowa teenager didn wreck his state health care market here who did 
1,self deprecating man just scratching surface of how pathetic he actually is
0,sexual assault survivors aren just daughters they re actually humans 
0,5 labor day escapes that are totally worth the money
1,texas governor legalizes previously banned wrestling move
0,chelsea clinton calls to stop the demand for ivory to protect africa elephants
0,jonathan adler stunning new hotel project has powerful mission
0,melania trump new bio says she paused her studies 
1,party host horrified to discover guests have been drying hands on bath towel this whole time
1,kodak nabisco apologize for drunken one night merger
0,daily meditation connecting with the earth
0,teacher removed from classroom over white nationalist podcast says it satire
0,elder women as agents of change
1,spokeswoman gives birth to spokeschild
1,morley safer can remember if he left stopwatch running after locking up 60 minutes studio
1, it real easy declares it guy about to speak incoherently for next 30 seconds
1,new study finds humans shouldn spend more than 5 consecutive hours together
1,hot dog craving ends after first bite
1,mccain stares at screen attempts to write family christmas letter
1,taylor swift now in long distance relationship with curiosity rover
1,woman assaulted by celebrity just needs to sit tight for 40 years until dozens more women corroborate story
0,a political obituary for the president son in law
1,college football scout has eye on high school cheerleader
1,report only 260 000 more games of candy crush until you die
1,scott walker changes locks on wisconsin governor office
0,zayn malik breaks his twitter silence to thank fans
1,report adjectives tony snarky used only by media
0,liberals it time to look at ourselves in the mirror
0,second biggest opening in history
0,living with hiv my journey
0,the peshawar tragedy shows that pakistan needs new religious narrative
1,area bird creeped out by bird watcher
1,scientists say newly discovered earthlike planet could support robust economy
1,explosion used to signify big savings
1,stolen tour bus leads police on chase of historic downtown philadelphia
1,colorado wildfire spreads to moon
1,mccain clinches religious vote with stirring high register rendition of ave maria 
1,jared kushner relieved he can finally stop anonymously buying all items ever sold from wife clothing line
0,jenna jameson calls on women to dropthecover and celebrates motherhood
0,hey all you 20 somethings breathe
1,casinos getting people to play longer by telling them rest of civilization destroyed
1,science fiction writer admits unstoppable killing machine based on mother
0,to my meant to bes letter to my failed ivf embryos
0,ferguson police chief darren wilson did not know michael brown was suspect in strong armed robbery
1,world marine life on edge now that seaworld moving on from orcas
1,produce manager ready for some football
1,landlord not convinced heat isn working
1,sentient couch thinks it would look good over by the window
0,dustin diamond arrested for reckless behavior
0,my aunt hillary 
1,woman who started sentence with oh my god really needs to stick landing
0,this chinese video explains why beijing rejects the south china sea ruling
0,nick offerman is ready to hang up his mustache
0,gourmet gifts for the foodie 2014
0,alton sterling protesters remind you what america keeps forgetting
0,i didn have this end in mind
0,20 people found refuge in famous paris bookstore during attacks
0,stage door forbidden broadway gerard alessandrini
0,see photos from the 2015 white house correspondents dinner
0,trump the globalist plutocrat
0,north carolina tells supreme court it giving up fight over jim crow voting law
1,world leader wondering why he just met with the former governor of massachusetts
1,inaccuracy of every single detail forces student paper to pull story at last minute
0,obama responds to charlottesville violence with quote from nelson mandela
0,nia long film and tv should look like the world we live in
0,how do live knowing proof of heaven 
0,wendy williams says she sick of this metoo movement 
1,climate scientists confirm there still time to blow up the earth
0,the single american woman
0,paul ryan wonk shtick is getting old
1, les misérables takes home oscar for most sound
1,man breaks out dating boxers
1,heroic man rushes into movie theater saves 4 seats
0,how princess diana was honored at the royal wedding
1,area throat clearer to go see movie
1,cricket located
1,white house adds eight inches to white house fence
0,at dnc democrats spoke out on topic that republicans mostly avoided
1,oscar pistorius swears bloody cricket bat from different murder
1,area woman marries into health insurance
0,drought costs californians an extra 2 billion in electricity expenses
1,fuming rachel maddow spends entire show just pointing wildly at picture of putin
1,annoying guy in movie theater constantly screaming get out of there you idiot at bradley cooper character in star is born 
0,michelle obama daily habit is all about happiness
0,the world fastest blind woman has no plans to slow down
1,dream vacation turns deadly for area houseplant
0,patriot devin mccourty is not visiting the white house don feel accepted 
1,spanx introduces new line of smoke bombs for concealing unwanted bumps and bulges
1,entire nyc subway system now consists of single handcar
0,sick dog who was to be euthanized gets diagnosed just in time
0,stephen colbert is driving bill reilly crazy
0, snl takes on sexist super bowl stereotypes in the best way
1,taylor swift inspires teen to come out as straight woman needing to be at center of gay rights narrative
0,recognizing the gift each moment bears is mindfulness practice
1,onion social cracks down on sexual harassment by banning all women from platform
1,apparently man can just hate bowling
0,here more evidence that trump poll truthers are wrong
1,bush seeking non masturbating surgeon general
0,rockette says inauguration performance is an issue of racism and sexism 
0,deadly flooding in sudan kills at least 76 people
0,north west and penelope disick are the cutest toddler duo around
0,bank of america touts going green but funnels billions into fossil fuels
1,wall street executive telling friend how amazing it is to see clinton live
0,dedicated humans of new york fans raise money to send underserved kids on harvard visit
1,new rumsfeld scholarship awarded to student who demonstrates potential to ignore geopolitical consequences of armed invasion
0,texas latinos overwhelmingly support abortion rights
0,a review of jim wallis in conversation 
1,bush spends day feverishly booby trapping desk
0,the pakistani friends and the foes of the new york times
0,head in sand purists
0,questions we ask when raising black boys in america
1,chance the rapper clarifies he from chicago
1,stephen miller enraged after discovering cantaloupe he fucking from mexico
1,senate votes 64 36 not sure on what
0,adele worships at the altar of beyoncé just like the rest of us
0,is taking birth control pills band aid treatment for pcos 
1,report 87 of goldman sachs employees began job with plans to take down company from inside
0,democrats weigh how to nudge sanders out
1,senator misses simpler time when he could do abominable things in peace
0,these social media apps are causing trouble in schools
1,real estate agent warns syrian couple about neighborhood high war crime rate
0, friends co creator on whether or not we ll get reboot
1,victoria secret releases sexy black lace sleep apnea mask
1,more cats made
0,elon musk is ready to conquer mars
1, mon mon says matt damon desperately searching for own name on list of imdb user dolphinsoul60 top 100 actors
0,google chooses saving lives over profits in the midst of opioid epidemic
0,determined cat goes through lot to wrestle with stuffed tiger
1,american torturing jobs increasingly outsourced
0,7 everyday habits for glowing younger looking skin
0,rare rossini and hot jazz at caramoor
1,nation entertainment reporters return to celeb beach body beat following coverage of weinstein scandal
1,woman masturbates to concept of commitment
0,beach boys confirm they re considering playing trump inauguration
1,civil unrest in sierra leone concerns npr listener
1,bush extremely proud of new suit
1,grandmother will live on in arguments over her wedding china
0,i quit spying on my teenager and learned why didn need to
1,woman relieved soulmate turned out to be in same socioeconomic bracket
1,paula broadwell crashing on petraeus family couch until sex scandal blows over
0,watch this guy chin perfectly perform ed sheeran thinking out loud 
1,weakling president asks imaginary man in sky to bless nation
1,mo nique know she look good
1,dole reveals one cantaloupe out there contains 10 million check
1, fuck you obama says in hilarious correspondents dinner speech
1,hero of the common man talks to plumber for entire time he in house
1,converse high tops reveal tv character eccentric personality
1,loser can even get wife pregnant
0,what cutting americorps would mean for public lands
0,kidnapping suspect says vaccine side effects led him to crime
0, miracle on ice veteran wants congressional scrutiny on nhl concussions
0,ne yo helps to raise 2 3 million for california engineering school
0,david beckham stared down studio camera here what we know
0,board member slams milo yiannopoulos invite to cpac
0,how zuckerberg llc could be more effective than charity
0,2 year old neil degrasse tyson pens awesome birthday thank you
1,mom unaware little note she packed with son lunch getting him beaten up right now
0,up to 60 robbers storm bart train in flash mob hold up
0,there going to be huge queer dance protest outside of ivanka trump house
0,why your friend doesn experience stress the same way you do
0,smuggler allegedly brings weed stuffed bible into jail
1,chicago annual homicide drive off to most promising start in decades
0,live from the toronto film festival sunday sept 7
0,mechanic stole city bus because he was late for work police say
1,117 aerocar pileup clogs troposphere for hours
1,freakonomist keeps close eye on ge stock versus height of mexican weightlifters
0,voters face some confusion at polls in alabama special election
0,rebel grandma sneaks out of care home to get tattoo
0,bill maher lets impish brit milo yiannopoulos off easy
1,rotating knife vortex closed pending safety investigation
1,woman who been on the pill for years thinking about switching to new set of debilitating side effects
0,does cyber monday still matter 
0,u intel officials knew last year about cia security breach that led to wikileaks dump
0,here the hocus pocus remake you never knew you wanted
0,trump lawsuit over white house book nonstarter legal experts say
0,everyone ganged up on marco rubio at saturday gop debate
1,allowance to teach child importance of parental dependence
0,taylor swift mom says groping incident shattered our trust 
1,area man fantasized about for one and only time in his life
0,5 weight loss habits that are making you gain weight
0,my disastrous search for the perfect swimsuit
1,arab american third grader returns from recess crying saying he didn kill anyone
1,epa unveils plan to improve conditions for nation sludge
1,darfur ia also in pretty bad shape
0,congress may resurrect earmarks in some states they never went away
1,conscience quietly let go as paul ryan policy advisor
1,report stagnant economy forcing more americans to take jobs as infrastructure
0,bill cosby defamation suit adds four more women
0,russian spies hack dnc computers and gain access to trump opposition research
0,china unveils its first restaurant inside an airplane
1,man finally comfortable enough around girlfriend to cheat on her
0,5 money lessons to teach our daughters
0,head of trump election integrity probe pens wildly misleading op ed about voter fraud
0,warpaint theresa wayman on the band vivid new album and inevitably questioning her career
1,little debbie conquers jenny craig in midnight showdown
1,suicide bombing can parents spot the warning signs 
1,man who never missed ally mcbeal back in the day joins trump legal team
1,biden forges president signature on executive order to make december dokken history month
0,drink me now tomatoes
0,canadian iranian professor hospitalized after months in iranian jail
0,darren wilson and vegan mom
0,fourth graders suspended after plotting to kill teacher with hand sanitizer
1, no way to prevent this says only nation where this regularly happens
0,is paul ryan helping to support the white supremacist movement 
1,alcohol themed bar opens
0,why banning hate groups won end them
0,farmworker rights leaders plan to protest on ben jerry free cone day
0,biden burden loss pays another visit
1,area mom finally learned computers 
0,ho ho no 5 reasons there no santa in our christmas
0,uganda president extends 30 year rule detains rivals after election
0,stewart hannity feud sh just got weird 
1,snakes on caduceus clearly in love
1,navy admiral thinks he mr important 
0,an art project over 40 years in the making lets people walk on water
1,firefighter excitedly checks drop off bin to see if they got any babies while they were out
0,nra dana loesch many in legacy media love mass shootings 
0,britney spears abs are your monday morning workout motivation
0,state of emergency declared at new york city housing authority
0,nervous flyer screwed by pals who secretly pack dildo in his bag nsfw 
0,channing tatum teases gambit wait till you see what we re going to do 
0,is fatherhood in cheyenne jackson future 
1,oscars create new truman capote biopic category
1,vegetarian option just iceberg lettuce on bread
1,yosemite closed indefinitely after bear spotted in park
0,kris jenner has her say on son in law kanye west good intentions 
0,kirsten dunst opens up about the life of child star
1,obama now attempting to get each word of jobs bill passed individually
1,jamie dimon cites relentless desire to watch person die up close as inspiration for starting healthcare company
0, mean girls and spongebob squarepants lead 2018 tony nominations
0,playing an aspiring rapper in patti cake danielle macdonald is summer breakout star
0,the eu the grexit and market failure
0,spring cleaning life hacks
0,yo soy blanco
0,hiroshima visit brings feelings of guilt to american born in japan
0,with trump presidency hanging in the balance latino groups push for historic turnout
1, you deserve better than the person you re dating reports little voice in back of mind
0,things heat up in the kitchen when 12 year old busts out moves we didn see coming
0,surprise rnc women vote trump event fails to attract many women
1,army general conducts exhaustive sex probe
0,prince cremated private ceremony held with family and friends
0,april cruelty
0,mike pence says he stands with the president on charlottesville
0,look we asked you to show us what you re thankful for and the responses are beautiful
0,jesse jackson absolutely no reason for officer to shoot
0,watch trash talking dogs prove their bark is worse than their bite
1,glade introduces new spring meadow fire extinguisher
1,teen newsweek reports north korea is the bomb
1,pedestrian crossing street makes sure to look at approaching car so driver will feel more guilty if they run him over
0,5 ways to make your meetings more positive
1,report laura divorce threatens razor thin democratic majority in family
0,irish weather forecaster halloween report spooks viewers
1,newly discovered recordings reveal beatles actually terrible group
0,30 things ve learned about life and kindness in my 30s
0,daily mail hits another low with sexist front page
1,time magazine just six months from big cocktail nation craze story
0,here what is arriving on hulu in february 2018
0,russian athlete dedicates olympic medal to unfairly banned compatriots
1,divorced man sadly removes ex wife admin privileges from home security system
0,during the debate these two did the unthinkable and united the country
0,how came to follow my passion
1,ken burns not sure how to turn down ray romano repeated offers to narrate next documentary
1,sun dreading rising today
1,sound technicians resort to hanging donald sutherland upside down in empty stairwell to get optimal voice over tone
0,u trained syria rebels hand over equipment to al qaeda affiliate
1,f scott fitzgerald estate wondering why the hell ken burns hasn come knocking yet
0,top house democrats demand fbi inquiry into trump team alleged link to email hack
0,even americans who favor gun control aren very optimistic about it
1,freak accident paralyzes man from waist up
0,presidential hopefuls ham it up at iowa state fair
0,washington state man jailed after attacking three gay seattle men
1,peeps unveils new boneless skinless marshmallow breasts
1,gummi bear emerges from digestive tract unharmed
0,your spouse could make you more likely to survive heart surgery
0,belgian princess damages prime minister hearing in starter gun incident
0,this is middle aged man true path to happiness
1,bill reilly tearfully packs up framed up skirt photos from desk
1,swiss threaten ricola embargo
0,great legs gross teeth endurance runners and tooth decay
1,job candidate awaiting interviewer just smiling making enthusiastic eye contact with every passerby in lobby
1,bush elected president of iraq
0,sean hannity goes berserk after losing conservative media award
1,cbs sitcoms under fire for using prison laughter
0,power of pride
1,regal cinemas suddenly realizes it been playing love and other drugs for two years
0,16 universally gross things no one really talks about
1,bitcoin on path to functioning just like real currency after small concentration of people acquire majority of it
0,the importance of increasing efficiency in new york city government
0,trump administration repeatedly denied there was any contact with russia during campaign
1,now that what call shitty music 8 tops album charts
1,marine hopes to spend second tour of duty on different baghdad city block
0,beyoncé mom steals the red carpet spotlight
1,aquarium touch tank lets kids pet water in natural environment
1,grandfather clock does loop the loop with pendulum when no one looking
1,fatal school bus crash cements bff status
1,avoiding popular songs somehow accomplishment for local man
0,rachel leyco bridges the diversity gap in her latest short film
0,extending your social media reach working the facebook author tag feature
0,chris pratt is incredibly groot at prank calls
1,old friend avoided in hometown convenience store
1,riaa bans telling friends about songs
1,ruby tuesday waiter warns jill stein her green party response to trump speech disrupting other diners
1,man either sick or just at end of workday
1,trump boys chasing wounded boar around white house
0,christina aguilera to guest judge on rupaul drag race season premiere
0,i a refugee in america felt safe for the first time now all feel is fear 
1,same homeless man always begging for change on united flight
0,u backed syrian rebels pleas for help likely to go unanswered
0,death of high school quarterback evan murray ruled an accident
0,another vietnamese activist slapped with prison sentence for toxic spill criticism
0,suspect in stockholm truck attack confesses to terrorist crime lawyer says
1,gruff no nonsense teacher only hard on students because he gets off on exploiting power
1,man does good job getting drunk
1,sure area man can watch your cat while his life is falling apart
0,james comey to testify he told trump he wasn under investigation udpate 
1,u adds 4 million jobs but in st louis
1,poll finds 97 of americans don know who donald trump is
1,tucker carlson challenges alexandria ocasio cortez to date
1,general mills releases new lucky charms with 15 percent less leprechaun meat
1,ozzy wins tickets to ozzfest
1,defiant manafort enters trial wearing coat made of live puffins
1,shell assures nation most arctic wildlife to go extinct well before next spill
0,how the gotham typeface came to define our era
1,report 43 of party invitations unprovoked
0,woman goes on rant over veteran service dog in restaurant
1,scientists discover 6 000 year old stain
0,rex tillerson supposedly shifted exxon mobil climate position except he really didn 
0,hot effing tuna takes the beacon theater by storm
1,nation wishes area man were creep but ugh he actually really fucking nice
0,weather channel destroys breitbart over bs climate change story
1,area man accidentally responds to own m4m ad
1,busy romney sorry he missed nation piano recital
1,bush approval rating of other americans also at all time low
0,selena gomez tears up while performing tribute to christina grimmie during concert
0,chrissy teigen hot take on ice cream trends could divide nation
1,nra sends complimentary bereavement gun baskets to families of shooting victims
1,tv viewer relates to totally unbelievable character that could never exist in reality
1,dad receives advance intelligence on visiting son new eyeliner
1,third party candidate forms exploratory committee to see who can cover shifts for him in coming months
1,our nation truckers are we meeting their pancake needs 
0,a bittersweet goodbye to pregnancy
0,see 2 billion star wars deaths in three minutes
1,small change in procedure wendy manager crowning achievement
0,airasia search continues but bad weather drives back divers
1,protagonist rapidly getting dressed must be late reports cunning viewer recognizing film subtext
0,cruz super pac aims to take out rubio in florida
0,woman body shamed for swimsuit photo responds with more swimsuit photos
0,see two spirits wave hello in the funniest scene from ghost story 
1,alumni furious over high school constant improvements
1,man as surprised as anyone that he knows all the members of sync
0,my wakeup call from arianna huffington
1,jenna bush federally protected wetlands now open for public drilling
0,what do non farm payroll interest rates mean for real estate 
0,ray lamontagne wants you to listen to his new album on vinyl
1,bank of america introduces new 50 underdraft fee
1,man just going to assume this counts as minced 
1,report more americans willing to accept female wonder woman
1,lemur fantasizes about ripping face off next dumbshit who calls it monkey
1,nation homophobic bigots pack it in
